789 Botany Rd,,,ILS and Countries State,,,Surf Life Saving Australia,2018,NSW,,
200 The Boulevard,,lifesavingoperations@lifesavingvictoria.com.au,Life Saving Victoria,03 9676 6932,03 9676 6930,Surf Life Saving Australia,3207,VIC,www.lifesavingvictoria.com.au,
3 Narabang Way,,experts@surflifesaving.com.au,Surf Life Saving New South Wales,0294718001,0294718000,Surf Life Saving Australia,2085,NSW,www.surflifesaving.com.au,
Surf House  62 Aralia Street,,surf@lifesavingnt.com.au,Surf Life Saving Northern Territory,08 8985 4737,08 8985 6588,Surf Life Saving Australia,0810,NT,www.lifesavingnt.com.au,
18 Manning Street,,info@lifesaving.com.au,Surf Life Saving Queensland,07 3846 8008,07 3846 8000,Surf Life Saving Australia,4101,QLD,www.lifesaving.com.au,
2 Barcoo Road,,surflifesaving@surfrescue.com.au,Surf Life Saving South Australia Inc,08 8354 6999,08 8354 6900,Surf Life Saving Australia,5024,SA,www.surfrescue.com.au,
5 Franklin Wharf,,slst@slst.asn.au,Surf Life Saving Tasmania,03 6223 5577,03 6222 6555,Surf Life Saving Australia,7000,TAS,www.slst.asn.au,
7 Delawney Street,,mail@slswa.com.au,Surf Life Saving Western Australia,(08) 92076699,(08) 92076666,Surf Life Saving Australia,6021,WA,www.surflifesavingwa.com.au,
,,,Bass District,,,Life Saving Victoria,,Unknown,,
Surf Beach Road,Cape Paterson/First Surf,secretary@cpslsc.org.au,Cape Paterson SLSC,,,Bass District,3995,VIC,www.capepatersonslsc.org,
163 Surf Parade,Main (Surf Beach),info@islsc.org.au,Inverloch SLSC,,0402893253,Bass District,3996,VIC,islsc.org.au,
Surf Drive,Venus Bay,secretary@vbslsc.org.au,Venus Bay SLSC,,03 5663 7780,Bass District,3956,VIC,www.vbslsc.org.au,
130 Beach Parade,Sandy Point (Waratah Bay),treasurer@waratahbeach.com.au,Waratah Beach SLSC,,03 5684 1276,Bass District,3959,VIC,www.waratahbeach.com.au,
